ID,文構造,語句1,語句2,語句3,語句4,語句5,語句6,以降の文章,正解,日本語訳
1,3年助動詞,Why,do,you,have,to,leave,for school so early?,Why do you have to leave for school so early?,あなたはなぜそんなに早く学校へ出かけなければならないのですか？
2,3年助動詞,You,don't,have,to,go,to,a library to find many different things.,You don't have to go to a library to find many different things.,あなたは図書館に行っていろいろなものを探す必要はありません。
3,3年助動詞,We,will,have,to,get,up,early tomorrow.,We will have to get up early tomorrow.,あなたは明日早起きしなければならないでしょう。
4,3年助動詞,She,must,be,sick,because,she,looks pale.,She must be sick because she looks pale.,彼女は顔色が悪いので、病気に違いない。
5,3年助動詞,You,had,better,go,there,as,quickly as you can.,You had better go there as quickly as you can.,できるだけ急いでそこに行ったほうが良い。
6,3年助動詞,You,had,better,not,take,a,work late at night.,You had better not take a work late at night.,君は夜遅く散歩をしないほうが良い。
7,3年助動詞,No,one,will,be,able,to,answer that question.,No one will be able to answer that question.,だれもその問いには答えられないでしょう。
8,3年助動詞,I,would,like,to,know,how,to make sushi.,I would like to know how to make sushi.,僕はすしの作り方を知りたい。
9,3年助動詞,Excuse,me,but,may,I,have,your name please?,Excuse me but may I have your name please?,失礼ですが、どちら様でしょうか？
10,3年助動詞,You,cannot,be,careful,in,crossing,a street.,You cannot be careful in crossing a street.,横断歩道を横断するときには、いくら注意してもしすぎることはありません。
11,3年助動詞,We,would,often,do,things,like,that (when we were young),We would often do things like that (when we were young),私たちは若いころには、よくそのようなことをしたものでした。
12,3年比較,I,like,oranges,better,than,any,other fruit.,I like oranges better than any other fruit.,果物の中ではオレンジが一番好きです。
13,3年比較,No,other,student,in,his,class,was so tall as Mike.,No other student in his class was so tall as Mike.,マイクはクラスで一番背が高かった。
14,3年比較,I,worked,as,hard,as,I,could.,I worked as hard as I could.,私はできるだけ一生懸命勉強した。
15,3年比較,Nothing,is,so,pleasant,as,traveling,by sea.,Nothing is so pleasant as traveling by sea.,私はできるだけ一生懸命に勉強した。
16,3年比較,He,has,three,times,as,many,books as she has.,He has three times as many books as she has.,彼の蔵書は彼女の蔵書の3倍です。
17,3年比較,The,new,gym,will,be,twice,as large as the old one.,The new gym will be twice as large as the old one.,その新しい体育館は古い体育館の２倍広くなります。
18,3年比較,This,problem,may,be,more,difficult,than you imagined.,This problem may be more difficult than you imagined.,この問題は君が想像していたより難しいかもしれない。
19,3年比較,There,is,nothing,more,important,than,to be honest.,There is nothing more important than to be honest.,正直であることより大切なことはありません。
20,3年現在完了,Have,you,ever,written,a,letter,in English?,Have you ever written a letter in English?,あなたは今までに英語で手紙を書いたことがありますか。
21,3年現在完了,We,have,known,each,other,for,ten years.,We have known each other for ten years.,私たちは知り合って１０年になります。
22,3年現在完了,I,have,never,seen,such,a,beautiful sunset.,I have never seen such a beautiful sunset.,あんなに美しい日の入りを見ったことがありません。
23,3年現在完了,I,haven't,seen,you,for,a,long time.,I haven't seen you for a long time.,久しぶりですね
24,3年現在完了,My,father,has,been,to,Europe,three times.,My father has been to Europe three times.,私の父はヨーロッパに３回行ったことがあります。
25,3年現在完了,How,long,have,you,stayed,in,this hotel?,How long have you stayed in this hotel?,あなたはどのくらいこのホテルに滞在しているのですか？
26,3年現在完了,How,many,times,has,your,father,visited New York?,How many times has your father visited New York?,あなたのお父さんは何回ニューヨークに行ったことがありますか？
27,3年不定詞,He,went,to,Tokyo,Station,to,see her off.,He went to Tokyo Station to see her off.,彼は彼女を見送りに東京駅へ行きました。
28,3年不定詞,Please,give,me,something,hot,to,drink.,Please give me something hot to drink.,何か温かい飲み物をください。
29,3年不定詞,Tom,had,few,friends,to,play,with.,Tom had few friends to play with.,トムには一緒に遊ぶ友人がほとんどいませんでした。
30,3年不定詞,Be,careful,not,to,burn,the,toast.,Be careful not to burn the toast.,トーストを焦がさないように気をつけなさい。
31,3年不定詞,To,do,this,homework,will,be,easy for you.,To do this homework will be easy for you.,この宿題をするのは、あなたには簡単だろう。
32,3年不定詞,I,felt,sad,to,hear,the,news of his death.,I felt sad to hear the news of his death.,私は彼が亡くなったという知らせを聞いて悲しく思いました。
33,3年不定詞,This,chair,is,comfortable,to,sit,on.,This chair is comfortable to sit on.,この椅子は座り心地が良い。
34,3年不定詞を含む構文,It,is,good,for,our,health,to get up early.,It is good for our health to get up early.,早起きは健康に良い。
35,3年不定詞を含む構文,It is impossible,for,her,to,come,back,in such a short time.,It is impossible for her to come back in such a short time.,彼女がそんな短時間で帰ってくるのは不可能でしょう。
36,3年不定詞を含む構文,My motther,wants,me,to,be,a,great musician.,My motther wants me to be a great musician.,母は私が偉大な音楽家になることを望んでいます。
37,3年不定詞を含む構文,John,asked,the,doctor,to,see,him on Wednesday.,John asked the doctor to see him on Wednesday.,ジョンは医者に水曜日に診察してくれるように頼みました。
38,3年不定詞を含む構文,My,brother,didn't,know,where,to,go.,My brother didn't know where to go.,私の弟はどこに行ってよいのかわかりませんでした。
39,3年不定詞を含む構文,The,desk,is,too,heavy,for,me to lift.,The desk is too heavy for me to lift.,その机はとても重いので持ち上げられません。
40,3年不定詞を含む構文,Tom,was,kind,enough,to,help,me with my homework.,Tom was kind enough to help me with my homework.,トムは親切にも私の宿題を手伝ってくれた。
41,3年不定詞を含む構文,This,computer,is,small,enough,to,carry in the pocket.,This computer is small enough to carry in the pocket.,このコンピュータはポケットに入れて運べるくらい小さい。
42,3年動名詞,Writing,good,English,needs,a,lot,of practice.,Writing good English needs a lot of practice.,良い英語を書くにはたくさんの練習が必要です。
43,3年動名詞,Don't be,afraid,of,making,mistakes,in,speaking English.,Don't be afraid of making mistakes in speaking English.,英語を話すときには間違うことを恐れてはならない。
44,3年動名詞,I,am,interested,in,writing,letters,to my pen pals.,I am interested in writing letters to my pen pals.,私は文通している友達に手紙を書くことに興味があるのです。
45,3年動名詞,I'm,looking,forword,to,playing,tennis,with you.,I'm looking forword to playing tennis with you.,あなたとテニスをするのを楽しみにしています。
46,3年動名詞,Thank,you,for,inviting,me,to,the party.,Thank you for inviting me to the party.,パーティーに招いてくれてありがとう。
47,3年動名詞,Would,you,mind,lendinig,me,the dictionary,for a while?,Would you mind lendinig me the dictionary for a while?,ちょっと辞書を貸してくださいませんか。
48,3年動名詞,David's buisiness,kept,him,from,attending,the,meeting.,David's buisiness kept him from attending the meeting.,仕事があってデイビットはその会合に出席できませんでした。
49,3年動名詞,I,want,you,to,finish,reading,the book in a few hours.,I want you to finish reading the book in a few hours.,私はあなたに2.3時間でその本を読み終えてほしいと思います。
50,3年接続詞,My mother,is,so,busy,that,she,can't go with us.,My mother is so busy that she can't go with us.,母はたいへん忙しいので私たちといっしょに行けません。
51,3年接続詞,Keep,running,all,the,way,and,you will be in time for the last train.,Keep running all the way and you will be in time for the last train.,ずっと走っていけば、終電に間に合います。
52,3年接続詞,Whether,he,will,succeed,or,not,depends on his efforts.,Whether he will succeed or not depends on his efforts.,彼が成功するかどうかは、彼の努力次第です。
53,3年文型,Lucy,lent,her,the,umbrella,beside,the door.,Lucy lent her the umbrella beside the door.,ルーシーはドアのそばにある傘を彼女に貸しました。
54,3年文型,Shall,I,bring,you,something,cold,to drink?,Shall I bring you something cold to drink?,何か冷たい飲み物を持ってきてあげましょうか。
55,3年文型,Mary,handed,her,fatther,a ticket,for,the concert.,Mary handed her fatther a ticket for the concert.,メアリーは彼女のお父さんに音楽会の切符を渡しました。
56,3年文型,The,old,man,always,keeps,the park,cleen.,The old man always keeps the park cleen.,その老人はいつも公園をきれいにしている。
57,3年文型,His,success,in,the,examination,made,his parents very happy.,His success in the examination made his parents very happy.,彼が試験に合格したので両親はとても喜んだ。
58,3年文型,My uncle,gave,it,to,me,for,my birsday present.,My uncle gave it to me for my birsday present.,それはおじから私への誕生日プレゼントでした。
59,3年文型,I,found,the,book,much,more,difficult,I found the book much more difficult.,その本を読んだら、思っていたよりもずっと難しかった。
60,3年文型,This,book,gave,me,some,idea,of life in England.,This book gave me some idea of life in England.,この本を読んだおかげで、イングランドの生活がいくらか分かった。
61,3年文型,Planes,have,done,much more,than,trains,and ships to make the earth a smaller place.,Planes have done much more than trains and ships to make the earth a smaller place.,飛行機は鉄道や船に比べて、地球を狭くするのにはるかに大きく貢献してきた。
62,3年受動態,Linda,was,pleased,woth,tha,present.,,Linda was pleased woth tha present.,リンダはその贈り物が気に入りました。
63,3年受動態,Her ball-point pen,was,stolen,on,the,train, yesterday.,Her ball-point pen was stolen on the train  yesterday.,彼女は昨日ボールペンを電車の中で盗まれました。
64,3年受動態,He,is,taken,care,of,my,uncle.,He is taken care of my uncle.,彼はおじの世話になっている。
